step,phase,loss,momentum,divergence,ic
1,adam,0.3582445873970646,0.3338537662023747,0.024390821194689882,0.0
2,adam,0.30748819799471855,0.2871278575393956,0.020360340455322923,0.0
3,adam,0.29641330907714547,0.2808447851810797,0.015568523896065771,0.0
4,adam,0.22827226078330076,0.21720618466662095,0.011066076116679818,0.0
5,adam,0.20943738822520194,0.19993224656306455,0.009505141662137392,0.0
6,adam,0.19451702344694344,0.18656698716848197,0.007950036278461477,0.0
7,adam,0.16897974568094892,0.16181767023920476,0.007162075441744168,0.0
8,adam,0.16656451558896807,0.1607818924416884,0.005782623147279672,0.0
9,adam,0.1576084689205443,0.15091745243055812,0.006691016489986193,0.0
10,adam,0.16021700735329017,0.1531366678741499,0.007080339479140274,0.0
11,adam,0.14608975645664032,0.13866047153378872,0.0074292849228516184,0.0
12,adam,0.14928158358814972,0.1422530701921017,0.007028513396048002,0.0
13,adam,0.1520650363901422,0.14327436992286072,0.008790666467281487,0.0
14,adam,0.15016490046326575,0.14139682623036795,0.008768074232897802,0.0
15,adam,0.1506619909418854,0.14240448020430585,0.008257510737579547,0.0
16,adam,0.1537191234393404,0.1459205537463122,0.0077985696930282285,0.0
17,adam,0.1541544143146842,0.1467740167681078,0.007380397546576417,0.0
18,adam,0.15109830227391616,0.14282970219644905,0.008268600077467103,0.0
19,adam,0.14211611916726793,0.13536474622613656,0.006751372941131362,0.0
20,adam,0.14456664515589826,0.13823069549852912,0.006335949657369149,0.0
21,adam,0.1417109466967606,0.13650901772103083,0.005201928975729771,0.0
22,adam,0.1444232653854196,0.1401069170197307,0.004316348365688921,0.0
23,adam,0.1344591121819515,0.13071427787022027,0.003744834311731229,0.0
24,adam,0.13576222186914158,0.132375395541364,0.003386826327777589,0.0
25,adam,0.13269965384397953,0.13017391719210047,0.0025257366518790653,0.0
26,adam,0.13252693187830872,0.1303302593331015,0.0021966725452072307,0.0
27,adam,0.13494349662328878,0.1333539121763263,0.001589584446962475,0.0
28,adam,0.1252982505150038,0.1240119789869111,0.0012862715280926797,0.0
29,adam,0.13118783908056852,0.13003606703021792,0.0011517720503506094,0.0
30,adam,0.12904393627790894,0.12811735919352304,0.0009265770843858935,0.0
31,adam,0.1284542747823505,0.12747156577965862,0.0009827090026918784,0.0
32,adam,0.12990419266130993,0.12906364348160837,0.0008405491797015628,0.0
33,adam,0.12757511118210624,0.12678141970837897,0.000793691473727276,0.0
34,adam,0.12935487992924322,0.12863859827556212,0.0007162816536810953,0.0
35,adam,0.12311503107765763,0.12233181757926698,0.0007832134983906531,0.0
36,adam,0.12362091406530616,0.12288282108604018,0.0007380929792659792,0.0
37,adam,0.12398688555769503,0.12322591056101928,0.0007609749966757472,0.0
38,adam,0.12303967448551123,0.12221369504780671,0.0008259794377045213,0.0
39,adam,0.1246130913738224,0.1237745218928003,0.0008385694810220997,0.0
40,adam,0.12181828338525404,0.12101202300568616,0.0008062603795678772,0.0
41,adam,0.11567139802639977,0.11491171688701102,0.0007596811393887554,0.0
42,adam,0.11690599006564534,0.11606231071983034,0.0008436793458150024,0.0
